Mixture	AML_blast	CMP	GMP	HSC	LPC	LSC	MEP	MPP	RApos	P-value	Correlation	RMSE
GSM923596	0.198798801485139	0.0953803171713096	0.215459035593465	0.24116346232029	0	0.0279146921042133	0.16372809366317	0	0.0575555976624124	0	0.81231759640446	0.583462450871028
GSM923597	0.125582171314229	0.0693038579048146	0.171873205844846	0.176846120099394	0	0.178678825482966	0.144063149168679	0	0.133652670185071	0	0.796933763111509	0.618470392269073
GSM923598	0.137796649137449	0.118542533689247	0.262926983724802	0.195912727189877	0	0.0425792655864132	0.130072366589141	0	0.112169474083071	0	0.814086550651602	0.583187617774536
GSM923599	0.169759437879525	0.253230521633826	0.0312153028825429	0.200350105785259	0.153579940964506	0.159510250063775	0	0	0.0323544407905657	0	0.61867669122094	0.787375575174939
GSM923600	0.0048545093808088	0.0122970921015046	0.31718948177665	0.000788137191470999	0.000178792840128346	0.223617553623788	0	0	0.441074433085649	0	0.521865536769171	0.853349081768773
GSM923601	0.264063410607844	0.0644510058984733	0.0714610387822631	0.201969707402239	0.138726128612791	0	0.177848912076872	0	0.0814797966195173	0	0.734769219820662	0.677227023538461
GSM923602	0.0379619718671973	0.0921540489988437	0.0273600661544826	0.32203474559861	0	0.21758628389568	0.294762283818241	0	0.0081405996669453	0	0.627584438719241	0.782558321138067
GSM923603	0.0819034041312036	0.0594901315557489	0.421094988962142	0.231902188226726	0.187663756268174	0.0134002877343244	0.00454524312168194	0	0	0	0.566614003651614	0.829303664081596
GSM923604	0.0764360400310246	0.0500187649412722	0.146732818454403	0	0.00408406704771423	0.162883104329702	0.161417011119408	0	0.398428194076476	0	0.498918444511829	0.872455433210305
GSM923605	0.0427850456985519	0.21558961206087	0	0.268380796507889	0.232852234293013	0.214688863776063	0	0	0.025703447663613	0	0.493887769485387	0.871958401829354
GSM923606	0.238275087510486	0.113372336581067	0.08247191821845	0.297870517162932	0	0.000178829296639731	0.113833722296755	0	0.15399758893367	0	0.72773902005525	0.686204793122437
GSM923607	0.121888834926803	0.132914561143942	0.306479654613416	0.0776801359657571	0	0.112934624936161	0.124017474675571	0	0.124084713738351	0	0.751392278019577	0.66012826821869
GSM923608	0.22130071167748	0.0580780753489821	0.180569438122886	0.353862580649041	0	0	0.186189194201611	0	0	0	0.716236643281119	0.697568552113772
GSM923609	0.0560126709112238	0.243031931851257	0.10678956874287	0.372637555722549	0	0.025072385502403	0.196455887269697	0	0	0	0.731217730677628	0.687351432817046
GSM923610	0.149679305638291	0.243421105214994	0.0860739621052592	0.271233628960859	0.0959686449021349	0.102190933152464	0	0	0.0514324200259987	0	0.61116447128188	0.791866902154415
GSM923611	0.273547446566291	0.267926939633072	0.184419553390213	0.274106060410424	0	0	0	0	0	0	0.779703011998896	0.627701424172988
GSM923612	0.150646575817991	0.32273308118291	0	0.365199582128012	0.0748850348814086	0	0.0163785710528792	0	0.0701571549367993	0	0.703721658149973	0.709242463443818
GSM923613	0.318939916221106	0.308714309569598	0.0206216913220642	0.276862178752372	0	0	0.0541983701110928	0	0.0206635340237661	0	0.727161922131168	0.704392860149395
GSM923614	0.149409255172949	0.384816297835844	0	0.287101032215929	0	0	0	0	0.178673414775277	0	0.762178267077116	0.646100480156016
GSM923615	0	0.312587394879118	0.029796924667888	0.319092634120445	0	0.137853217993924	0.184690459041406	0	0.0159793692972185	0	0.754598966043096	0.658335427660794
GSM923616	0.132862853093146	0.179483662391656	0.0843522791484988	0.361628652535602	0	0	0.241672552831097	0	0	0	0.685146517252127	0.745171825555845
GSM923617	0.173903359379339	0.0570613242882553	0.197145754557522	0.193174737088577	0	0.24944053983658	0.0477600427899701	0	0.081514242059756	0	0.469637953580495	0.89314374320233
GSM923618	0.0932780835455153	0.203547260856998	0.297160211186558	0.34683345899863	0.0274509148112642	0.0127470859480419	0	0	0.0189829846529933	0	0.77729911815006	0.633271425367166
GSM923619	0.0872832448443505	0.151118338571926	0.308122660020723	0.315669349787365	0.053261424157392	0	0.0328681513223733	0	0.0516768312958701	0	0.776698580715785	0.63675649688505
GSM923620	0.0774619526709197	0.128212870399851	0.376390259373398	0.34275069633574	0.0751842212200909	0	0	0	0	0	0.706158733917032	0.707592300776741
GSM923621	0.178688221127474	0.0235507583881036	0.406293043339552	0.212793951334481	0.0974457178585277	0	0.0812283079518613	0	0	0	0.823708230896706	0.572074892738173
GSM923622	0.134704295364067	0.145678838485049	0.347702492165863	0.222642031793048	0.149272342191974	0	0	0	0	0	0.745432204274597	0.665833491105463
GSM923623	0.118213619542338	0.281828859559116	0.192850583002731	0.283305935735471	0	0.0633549979557454	0	0	0.0604460042045987	0	0.775913822140981	0.631037739707586
GSM923624	0	0.104237198121899	0.31172847136349	0.113076209081911	0.187181664156463	0.0634470212347191	0	0	0.220329436041517	0	0.637004062956234	0.770813358728796
GSM923625	0.166579897563432	0.260173165171015	0.201849891601625	0.29189309206741	0	0.0290585103681803	0	0	0.0504454432283376	0	0.71786961751039	0.695534931071492
GSM923626	0.123321275792959	0.306946402675795	0.16469591713205	0.237039788803148	0	0.0994964869083633	0	0	0.0685001286876839	0	0.703566352962465	0.711355265901103
GSM923627	0	0.0561964740503763	0.221901904844037	0	0.343807645816699	0	0.0336993703766232	0.344394604912265	0	0	0.471067240468361	0.883314258672827
GSM923628	0.16746652079283	0.259758939821585	0	0.160479347060969	0.0521405195818586	0.169722271714493	0	0	0.190432401028265	0	0.574392949986239	0.820743451970762
GSM923629	0.303800911301951	0.345960772569479	0.0218848429851691	0.230116657471864	0	0	0.0776878092624131	0	0.0205490064091231	0	0.746709355832627	0.697473331269147
GSM923630	0	0.0277372733947641	0.247225762930532	0.099834455376819	0.068941784964987	0.224540444155382	0.192619839756481	0	0.139100439421036	0	0.631023725925021	0.774539866741134
GSM923631	0.111963863404593	0.185513776773758	0	0.30882790329942	0	0.111036559845115	0.19164300927403	0	0.0910148874030842	0	0.642996549134419	0.769253578258241
GSM923632	0.0992532569726939	0.150055326598063	0.08039321116956	0.277597761646381	0.00502576319789296	0	0.0754041375424664	0	0.312270542872943	0	0.68451504764193	0.736507169703183
GSM923633	0.133041428663407	0.155833225104245	0.0569853343598482	0.269931310999844	0	0.0120116156438508	0.171738103253392	0	0.200458981975413	0	0.711995991319979	0.700748679937547
GSM923634	0.337998358907256	0.284558087094032	0.120584990407326	0.256858563591385	0	0	0	0	0	0	0.736452155236614	0.687984347808245
GSM923635	0.110586032244906	0.328050143072633	0.150577251463373	0.239283600269372	0	0.0517454232174248	0.059191234609609	0	0.0605663151226809	0	0.761258318876965	0.651317733435915
GSM923636	0.137694012120742	0.0903132103719971	0.27363582404433	0.304415144783475	0	0.0136659336361283	0.180275875043328	0	0	0	0.735714349613937	0.677790623902441
GSM923637	0.0967999804122649	0.318927739535438	0.0953971690965516	0.312429373542709	0	0.0269816786507245	0.0755278603505001	0	0.0739361984118116	0	0.66664333264074	0.754075720393947
GSM923638	0.0643381653677159	0.125288839097798	0	0.201567970215463	0.105504450465727	0	0.480649024493213	0	0.0226515503600823	0	0.655449185644742	0.838192353884737
GSM923639	0.128016990611126	0.235215618974276	0	0.175216122542402	0	0.112182921695328	0.232766916965175	0	0.116601429211693	0	0.72654332462448	0.69941086549336
GSM923640	0.260814749296319	0.342678628164067	0	0.12087834992443	0	0	0	0	0.275628272615185	0	0.753355843738855	0.657879776561455
GSM923641	0.313838289008805	0.189416664840873	0.238570835540088	0.133347675769928	0	0	0.0940420354989561	0	0.0307844993413504	0	0.794605226689861	0.620060739763065
GSM923642	0.0726603005793263	0.132561564941512	0.39660102248759	0.275421674449801	0.12275543754177	0	0	0	0	0	0.677602624122734	0.734130105829486
GSM923643	0.226797665947493	0.126713044557263	0.280705998021074	0.256662690064952	0	0.0200873957376163	0.0656155471999142	0	0.0234176584716867	0	0.788931089455824	0.614119742775566
GSM923644	0	0.00475093363175907	0.464589829115166	0.0768411116956004	0.453818125557474	0	0	0	0	0	0.487054781591282	0.899874174772189
GSM923645	0.297281331207208	0.159910921346689	0.0530548418057747	0.360110308255877	0	0.00846732403784976	0.1211752733466	0	0	0	0.74818779616466	0.663527391245667
