Mixture	AML_blast	CMP	GMP	HSC	LPC	LSC	MEP	MPP	RApos	P-value	Correlation	RMSE
12-00023	0	0.0650546233036568	0.246195115485423	0	0.436293341921496	0	0	0	0.252456919289424	0	0.0928163904105917	1.10588615565395
12-00051	0.0546080874220125	0.0331562916689008	0	0	0.715159622960904	0	0.105909295634644	0.0911667023135385	0	0	0.520939671081455	0.859252131327222
12-00066	0	0.0318281497318914	0.558250468019283	0.0422208867940152	0.367700495454811	0	0	0	0	0	0.227913737134579	1.10274329566529
12-00150	0	0.0208461433571503	0.312498322950644	0.140941210800204	0.525714322892001	0	0	0	0	0	0.232971884203773	1.04427581828148
12-00211	0	0.045802377704832	0.0638005116903852	0.243614207310745	0.646782903294038	0	0	0	0	0	0.332746046532194	0.968874220445141
12-00258	0.00250756839306695	0	0.415510293319384	0.143326401022639	0.43865573726491	0	0	0	0	0	0.153691858700176	1.10019739833661
12-00294	0	0.0510665582280346	0.312106717871162	0	0.458973949672978	0	0	0	0.177852774227825	0	0.427372250058607	0.92236290428984
12-00372	0.0247804473880649	0.0573146701932691	0.518265233942892	0.132767772921501	0	0.266871875554272	0	0	0	0	0.580052386763916	0.823402920488281
12-00423	0	0.0437244504757415	0.714457400353351	0.139812571302701	0.073814493326646	0	0.0281910845415604	0	0	0	0.715617649366587	0.707055872082542
12-00426	0	0.038016819606228	0.53731433441872	0.158970143224054	0.265698702750998	0	0	0	0	0	0.780577370096389	0.629295212767054
13-00007	0	0.00978675607904864	0	0.113729921976018	0.845054820706049	0	0.0165844660665562	0	0.0148440351723285	0	0.587712383428083	0.809391908667699
13-00028	0	0.0509566957433211	0.451944882334041	0	0.497098421922638	0	0	0	0	0	0.691766843713579	0.721821491487941
13-00034	0	0	0.361465630246554	0.11144837519943	0.527085994554016	0	0	0	0	0	0.229302274618129	1.05507898214965
13-00098	0	0.0529260190161858	0.558878352788871	0.100207928806272	0.217505882492785	0.0704818168958862	0	0	0	0	0.647271151380806	0.766125126826999
13-00118	0	0.320445719141174	0	0.316912098346915	0.361064041538006	0	0	0	0.00157814097390582	0	0.21036074565118	1.060369996813
13-00123	0.0780082327439689	0	0.0314632956673596	0.20369062674648	0.664466780855217	0	0	0	0.0223710639869736	0	0.0529168012786272	1.12776373723838
13-00145	0	0.0548771007666555	0	0	0.640433523867074	0	0	0.173686108357462	0.131003267008809	0	0.458847648981676	0.892125814910295
13-00146	0	0	0.302072054181975	0.190481908701952	0.507446037116073	0	0	0	0	0	0.580045882444093	0.813481077644544
13-00147	0	0.0568506614553769	0.0610489877108033	0	0.690675569422145	0	0	0.145750910561214	0.0456738708504609	0	0.384668814558331	0.94357963415222
13-00149	0	0.0364603873602268	0.46497159561589	0.156448496042844	0.28481677131764	0	0.0573027496634002	0	0	0	0.704016003717836	0.70915623842945
13-00150	0.0156834223533946	0.038004606771013	0	0.177126159181269	0.342872464865949	0.0879103465399926	0	0	0.338403000288382	0	0.242926646514887	0.998457619110564
13-00157	0	0.108656493274807	0.18068388752397	0.150228946831961	0.560430672369262	0	0	0	0	0	0.223000188183405	1.04451569238651
13-00160	0	0.147017526046143	0.524369386989007	0.152769309486869	0.147481759737428	0	0.028362017740553	0	0	0	0.513320301321199	0.898625872798527
13-00163	0	0	0.48496795260998	0.0108818576904898	0.50415018969953	0	0	0	0	0	0.297999547973696	1.04319860935609
13-00165	0	0.0680993390081126	0.264683882165435	0	0.434056911959599	0.00755614088396671	0	0.0808962822542049	0.144707443728682	0	0.537243086205391	0.843684313697996
13-00166	0.0723843401298186	0	0	0	0.655632038044861	0	0.038761257774791	0.0501686040272787	0.183053760023251	0	0.499161421152536	0.869086359362056
13-00186	0	0	0.41522359216809	0	0.195845130763084	0	0	0.302480497222171	0.0864507798466551	0	0.340355508256683	0.964283126933212
13-00195	0.0678535923922666	0.0117606134196346	0.0034086472219019	0.28560702975959	0.586142348898714	0	0.00557522677375918	0	0.0396525415341329	0	0.0560781857666791	1.10740405141311
13-00202	0	0	0.477169804415161	0.104895830379893	0.417934365204946	0	0	0	0	0	0.195161718630385	1.09171885540368
13-00204	0	0.00700824027297287	0.367824032441595	0.115327129259113	0.509840598026319	0	0	0	0	0	0.653319224457606	0.755970180549526
13-00226	0	0.0947403952767028	0.510145162118216	0.052619886046491	0.34249455655859	0	0	0	0	0	0.669804608797009	0.745799821559964
13-00232	0	0.0333653716418151	0.621080583827012	0	0.345554044531173	0	0	0	0	0	0.722817119673537	0.693988533592534
13-00245	0	0.0316213644368744	0.346392034338986	0.249752166288937	0.372234434935203	0	0	0	0	0	0.247615595307975	1.02401115599371
13-00250	0	0.349810767214772	0.418033312526095	0.198759159974611	0	0.0333967602845219	0	0	0	0	0.812118176883163	0.587825482559877
13-00253	0.178264189724042	0.00210235097121153	0.0131078198868333	0	0.291652171725482	0	0	0.514873467692431	0	0	0.311050600783167	0.963821822636646
13-00255	0.0419879655986125	0.0778635425789664	0.0594092272523754	0	0.376846430151476	0.149222577180686	0	0.294670257237883	0	0	0.0366353273619991	1.11387815122884
13-00260	0	0.0775489905161907	0.322467816963733	0.130461032367176	0.4695221601529	0	0	0	0	0	0.590380132020172	0.807016046036565
13-00262	0.06858625958748	0.00243629739340959	0.0342084642866136	0	0.578510252821903	0.242049574612598	0	0.0742091512979956	0	0	0.501258102966445	0.876619455465444
13-00266	0	0.0166906442023566	0.163242492617478	0	0.620056318791533	0	0	0.200010544388632	0	0	0.381313068457964	0.944394315926017
13-00270	0	0.0447209806512959	0.516515944800833	0.0901484383023906	0.34861463624548	0	0	0	0	0	0.322605300106852	1.02341873835936
13-00281	0.0152293575196304	0.0164828242262301	0.0496162390396977	0	0.581495467752736	0	0.0277980959244084	0.309378015537297	0	0	0.261264837333173	1.00148734815383
13-00331	0	0	0.292327386303073	0.123287446416805	0.584385167280122	0	0	0	0	0	0.74160568068742	0.680119672993119
13-00338	0	0.0121253839772566	0.606903656166998	0.0769788968133559	0.247903843776305	0.0540070747312889	0	0	0.00208114453479546	0	0.641838765905935	0.773221807140637
13-00342	0.040637789598945	0.119308130149041	0.45868042241977	0.242620990168698	0	0.0407781101319952	0.0979745575315505	0	0	0	0.803480757001385	0.594798969413652
13-00353	0.0019997977922754	0.0202415997819778	0.339517192678883	0.151002685196871	0.487238724549993	0	0	0	0	0	0.283685518056452	1.01442126294852
13-00354	0.0565599183035178	0.0343991643849021	0.233493577357815	0	0.388461808427486	0	0	0.28708553152628	0	0	0.243936665988281	1.01559625760823
13-00365	0.254566117961086	0.0818749881555845	0.261336295724924	0.218040661078408	0.184181937079998	0	0	0	0	0	0.4791132449616	0.900376463363752
13-00384	0.215876671361517	0	0.418598235478021	0.338111916758294	0.027413176402168	0	0	0	0	0	0.495550790183861	0.880949321723141
