Mixture	AML_blast	CMP	GMP	HSC	LPC	LSC	MEP	MPP	RApos	P-value	Correlation	RMSE
TCGA-AB-2803	0	0.234899228582896	0.307523748398192	0.208691713963079	0.248885309055834	0	0	0	0	0	0.488709922223407	0.897338557945022
TCGA-AB-2807	0.0160377103107698	0.256148125015877	0	0.239714804126976	0	0.0967814979010474	0.141581018077233	0	0.249736844568096	0	0.723762351233563	0.690376618240993
TCGA-AB-2963	0	0.143477296538558	0.355254100164902	0.223374713786261	0.265988405191532	0.0119054843187476	0	0	0	0	0.189387140521485	1.0842619509285
TCGA-AB-2826	0	0.0571812319066336	0.345925837295233	0.178029309798563	0.41886362099957	0	0	0	0	0	0.185232451451045	1.07462430117301
TCGA-AB-2867	0	0.0800400935362982	0.588941384956933	0.132030786470453	0.0432776219536795	0.138409361548682	0.0173007515339533	0	0	0	0.747321018161998	0.663872783080026
TCGA-AB-2818	0	0.300344333411303	0	0.228457710840799	0.234586292995617	0.212390988397957	0	0	0.0242206743543239	0	0.016235412380904	1.17129235096839
TCGA-AB-2808	0	0.0591133533624287	0.516225180361539	0.188646971278857	0.169489743628587	0	0.0665247513685883	0	0	0	0.419570338591721	0.958142763344689
TCGA-AB-2853	0.00504245982726688	0.00746108371074522	0.0111169517695859	0.0181177315557159	0.552953429753479	0.405308343383207	0	0	0	0	0.121110789291451	1.14755714652207
TCGA-AB-2854	0.0684037330710869	0.322112731664695	0.133761110822136	0.380589438624991	0	0.0327578635521908	0.0532442263748441	0	0.00913089589005639	0	0.744126920121481	0.667889084494809
TCGA-AB-2822	0.208677094518175	0.196712679557296	0	0.065872682869766	0.266588120055321	0.156740115004295	0	0	0.105409307995147	0	0.61729832244957	0.788782545260655
TCGA-AB-2805	0.0570725653105394	0.0366060686341743	0.0588296764308731	0.0608514510410524	0	0.32057725603994	0.00147152765785007	0	0.464591454885571	0	0.0462702667799718	1.09290225293889
TCGA-AB-2840	0	0.00238963973894792	0.473565078790382	0	0.475379458406541	0	0	0.0486658230641296	0	0	0.664092956510702	0.747799281776738
TCGA-AB-2833	0.11252946274067	0.0239101499600566	0.172573144212819	0.166775732119096	0.397789762732799	0	0	0	0.126421748234559	0	0.0646859611679199	1.11218291172106
TCGA-AB-2806	0	0.0357395397459906	0.511488492377581	0	0	0.444456903795311	0	0	0.00831506408111679	0	0.687143574964604	0.727132586491453
TCGA-AB-2828	0	0	0.525281666664989	0.112489385292469	0.349105890535159	0.0131230575073834	0	0	0	0	0.18605245678887	1.10650497695086
TCGA-AB-2819	0	0.023206512358919	0.457710118410237	0.0827205472659609	0.422809915141429	0	0.0135529068234539	0	0	0	0.661307343644599	0.749718501118395
TCGA-AB-2816	0	0.0238931230170312	0.350880734888934	0.0929733561119537	0.488549993535338	0.0321455859194294	0	0	0.0115572065273135	0	0.117593661201319	1.12467844976244
TCGA-AB-2812	0	0.0815846825181629	0.293256662356753	0.127128094401352	0.498030560723732	0	0	0	0	0	0.423285356082568	0.929451245590705
TCGA-AB-2814	0.080366560169766	0.153012197877532	0	0.245230007003053	0.0418550901153069	0.216582563365917	0	0	0.262953581468425	0	0.536646043205216	0.843411758629204
TCGA-AB-2839	0	0.276502122320595	0.179990102504546	0.130138246555498	0.22457969059069	0.184257393035452	0	0	0.00453244499321895	0	0.694989043333322	0.718160367783107
TCGA-AB-2863	0	0.0420800168088093	0.507139486968034	0.129821436752941	0.173685990224636	0.0378788452956127	0.109394223949966	0	0	0	0.748382987418317	0.662401017924443
TCGA-AB-2815	0	0.0323060202576521	0.415117361172061	0.0776728260301748	0.450880977481904	0.0240228150582073	0	0	0	0	0.204725976274362	1.08643814273257
TCGA-AB-2834	0	0.123936609571137	0.458799435652598	0.227239240828829	0.180527123706099	0	0.00949759024133578	0	0	0	0.151660394584951	1.12754116477757
TCGA-AB-2842	0	0.0119070925437195	0.0643789131630279	0.0610875089052304	0.8568570197317	0	0.0057694656563221	0	0	0	0.0366536846040855	1.18222317092465
TCGA-AB-2849	0.0392067108208383	0.147858653415066	0	0.17633475719748	0	0.13685193775728	0.362055710013487	0	0.137692230795848	0	0.758715357763075	0.657762148182583
TCGA-AB-2964	0	0.295905702426061	0.304885898729347	0.182625613333767	0	0.0862574066614613	0.115554006959225	0	0.0147713718901384	0	0.768249406714878	0.648969768732867
TCGA-AB-2903	0	0.0633971706321808	0.212458903949767	0.0307666767602011	0.693377248657852	0	0	0	0	0	0.651548909368359	0.757674878267831
TCGA-AB-2965	0	0.24507408034261	0	0.0755391434405702	0.621615473071721	0	0	0	0.0577713031450986	0	-0.000238335057346129	1.18825455372233
TCGA-AB-2966	0	0.0683924835481973	0.515748591766204	0.00504184588764761	0	0.179925366019705	0.0716371875972698	0	0.159254525180976	0	0.747502063741404	0.663337906147413
TCGA-AB-2967	0.0417325086946441	0.39673271757784	0.0162931647067911	0.235621093563549	0.0165592778961985	0.165546990652817	0.118239523990071	0	0.00927472291808956	0	0.171506707533276	1.20740236106148
TCGA-AB-2959	0.0139741613929814	0.0611588700393425	0.0214696893716379	0.0182580241313965	0	0.324867585998128	0.0410234847520586	0	0.519248184314455	0	0.512840938317709	0.859559772561828
TCGA-AB-2917	0	0.142161633724612	0.381589635791267	0.266683702617439	0.0151629270699679	0.100404006405991	0.0939980943907234	0	0	0	0.530826542282555	0.867988468864316
TCGA-AB-2913	0	0.092329998955777	0.184488513299477	0	0.482903403862858	0.214506165493902	0.0257719183879858	0	0	0	0.446402218152785	0.92242048034628
TCGA-AB-2892	0	0.0753412063099719	0.353083525324329	0.119950328489664	0.451624939876036	0	0	0	0	0	0.251888848521484	1.04680091438716
TCGA-AB-2969	0.0263701859729297	0	0.0747997214931818	0.175430538638927	0.715560362372504	0	0	0	0.00783919152245694	0	0.0182999615499388	1.15973191210631
TCGA-AB-2970	0.0962210014446129	0.227585523686351	0.0834066310351403	0.0964890916453416	0	0.160693279100429	0.0657604407330974	0	0.269844032355028	0	0.260449178835609	1.0494603726555
TCGA-AB-2911	0.110091426626107	0.0434057922488103	0.349789865960648	0.125198988560772	0.24231804340309	0.115532577075572	0	0	0.0136633061250005	0	0.163629867480062	1.10324908795191
TCGA-AB-2904	0.0785096449611842	0.312290131769094	0	0.247882979948363	0	0.0978286646295509	0.0532547328706858	0	0.210233845821122	0	0.771698342269641	0.639530047202175
TCGA-AB-2912	0	0.02172079136722	0.19337800719697	0	0.166666276829175	0.291567547928699	0.00856674423148294	0	0.318100632446454	0	0.0516595174797919	1.11401243851193
TCGA-AB-2971	0	0.0238237611671178	0.534367659958345	0.0661536811817354	0.225598564241326	0.150056333451476	0	0	0	0	0.126788924479152	1.15632035545264
TCGA-AB-2972	0	0.240823104224204	0.0661998132022835	0.254447375533188	0	0.114697375081022	0.312277242910531	0	0.0115550890487707	0	0.823123235929866	0.574481339180618
TCGA-AB-2973	0.29411711791641	0.0304550680819434	0.119572476867346	0.28152982466904	0.0833153605843913	0.19101015188087	0	0	0	0	0.0433088661345925	1.14919415476383
TCGA-AB-2916	0.110603871878339	0.251421654020384	0.0392271361625063	0.328916423607598	0	0.196611678191614	0	0	0.0732192361395589	0	0.248168509650513	1.03851482698415
TCGA-AB-2914	0	0.0441064633036174	0.406893917882774	0.0640508948819544	0.180777097137415	0.30417162679424	0	0	0	0	0.431959509499998	0.933573887008929
