Gene	AML_blast	CMP	GMP	HSC	LPC	LSC	MEP	MPP	RApos
GNLY	2828.62848589643	47.898831825	39.06098774625	30.8730509096429	101.089627233812	57.65745257625	293.18991263125	22.462167273625	31.7404441995
NXF3	1717.39180448429	125.2898656575	71.4345963775	36.3266337075714	900.626364459375	604.364178303	181.0568566725	33.717728353375	11.36619936975
APOC2	930.480835357143	65.8748222025	125.8319632775	32.5752460571429	601.07429373625	529.1723800775	188.0497866	34.368681830125	39.7389083275
ITGAX	2034.53512091429	301.666007775	498.925359575	80.3217981407143	384.114782085	628.72085929375	97.155773475	53.421048421875	96.502827835
SLC4A3	716.549378081286	22.2444841975	46.12100735	8.94352940885714	16.076721558625	45.50373129175	14.3214532015	11.187356937875	4.351214754
APBA2	1014.84788928286	253.96305575	72.836738515	33.2441752225714	461.12164824	448.706504701625	651.647164725	62.579059405	28.386889909
CEL	1545.03782944286	412.4155782975	333.633916325	55.7755404485714	384.431782465	260.3409738925	209.2445453175	98.50644912875	212.5217272675
ALAS2	589.963547634143	241.5975698775	96.29926493	7.16088686457143	6.591487959625	6.623904016125	484.7652003675	6.177504134625	5.49637733025
SPON2	1958.45325661429	437.81915115	971.3675653275	86.6459422428571	496.0739304625	467.417370875	368.95714385	104.33372555	264.587796525
RASSF4	426.981738857143	65.8483218575	666.6640338025	40.1172253902857	136.44454613525	94.466985238375	44.4145546	24.982090170375	36.0169924065
SGSH	226.081562258571	62.1562300825	34.06656048	33.6765986568571	33.14384416675	23.600857903125	20.2441124935	7.212701445625	12.8832998175
MAMDC4	461.293518795714	341.384317655	60.90254233	42.6156781928571	217.16090898375	66.75733599625	155.0558335875	26.059417484375	30.44419054
CPNE5	272.957321682857	66.9387487425	29.5098224175	34.91731712	39.480391138125	44.8116392945	111.7333253575	24.075706715875	18.6383168005
SIT1	208.191672142857	119.085547875	268.264263085	38.7818743558571	33.777922434125	28.176609001375	231.9229332875	24.895012265	12.77820657325
COPE	328.33931788	125.7394129875	379.1425735	22.4493089105714	88.00092730875	75.168719138375	139.0409619775	33.54600830375	17.0087940605
LILRA4	154.46646094	39.3487899475	203.358618945	22.9516342227143	23.112875628875	38.275420241625	60.0200357325	17.402227778	27.9531512275
COL23A1	548.159337422857	113.5782636575	295.6596425375	38.4408656742857	239.9302899625	176.57721360875	139.193703005	44.8039192775	62.4164688025
ALDH8A1	627.143953708571	48.2671301725	119.744831855	52.9685009252857	256.481803245	234.854850898375	303.9682051225	56.071936535	153.64817647
FGR	2203.56937565714	370.18276965	795.15497965	166.416206397143	497.6777640625	694.4622757	419.92591965	179.212126175	282.939658475
TCIRG1	13600.239501	3539.13316225	7388.9524	1413.79068854286	2894.11086075	3676.74324475	2144.03413975	1382.040739725	1861.73731125
